,activity,appCat.builtin_count,appCat.builtin_sum,appCat.communication_count,appCat.communication_sum,appCat.entertainment_count,appCat.entertainment_sum,appCat.finance_count,appCat.finance_sum,appCat.game_count,appCat.game_sum,appCat.office_count,appCat.office_sum,appCat.other_count,appCat.other_sum,appCat.social_count,appCat.social_sum,appCat.travel_count,appCat.travel_sum,appCat.unknown_count,appCat.unknown_sum,appCat.utilities_count,appCat.utilities_sum,appCat.weather_count,appCat.weather_sum,call,circumplex.arousal,circumplex.valence,holiday,id,mood,screen_count,screen_sum,sms,temperature,week_day_0,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6
2014-02-17 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,False,AS14.01,,,,,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-18 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,False,AS14.01,,,,,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-02-19 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,False,AS14.01,,,,2.0,7.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014-02-20 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,False,AS14.01,,,,3.0,8.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-02-21 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,False,AS14.01,,,,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2014-02-22 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,False,AS14.01,,,,1.0,6.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014-02-23 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,False,AS14.01,,,,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-02-24 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,False,AS14.01,,,,0.0,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-25 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,False,AS14.01,,,,0.0,8.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-02-26 00:00:00.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.25,0.75,False,AS14.01,6.25,,,2.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
